date,close,volume,change
2023-11-01,97045,10561,0.0030031137281746364
2023-11-02,93160,6246,-0.04085634343655016
2023-11-03,93257,5245,0.0010406777145252116
2023-11-06,94228,11188,0.010358254599694439
2023-11-07,96365,16478,0.022425687820654898
2023-11-08,97531,6022,0.012027211035753155
2023-11-09,97142,6981,-0.003996450640268202
2023-11-10,96365,8118,-0.008030760395484903
2023-11-13,95782,6391,-0.006068289268509121
2023-11-14,96365,5771,0.006068289268509109
2023-11-15,93742,14177,-0.027596737274924014
2023-11-16,94617,3142,0.009290836053822334
2023-11-17,91508,9416,-0.033410763776376314
2023-11-20,91800,6886,0.0031858974729078917
2023-11-21,90634,6884,-0.012782879037724149
2023-11-22,88885,12751,-0.019486019214071795
2023-11-23,89371,8248,0.00545284539322196
2023-11-24,90440,5087,0.011890402641898555
2023-11-27,89857,6666,-0.006467129591024875
2023-11-28,89177,6750,-0.007596359014803559
2023-11-29,87040,24944,-0.024255375696308187
2023-11-30,88400,12785,0.015504186535965254
2023-12-01,89080,6215,0.007662872745569097
2023-12-04,90634,13707,0.017294576199553706
2023-12-05,91605,7703,0.010656436754487167
2023-12-06,91314,5413,-0.003181738862490129
2023-12-07,97142,29250,0.06186970906578215
2023-12-08,94811,4431,-0.02428838926164487
2023-12-11,96560,4680,0.01827914050442123
2023-12-12,94714,7331,-0.01930275225452871
2023-12-13,97045,8896,0.02431296391794313
2023-12-14,96560,6149,-0.005010211663414413
2023-12-15,93742,8420,-0.02961824891318517
2023-12-18,93742,5798,0.0
2023-12-19,93548,5134,-0.0020716543262673855
2023-12-20,95005,2244,0.015454848244671787
2023-12-21,96560,7923,0.016235054994780822
2023-12-22,97142,8438,0.006009248757223585
2023-12-26,97240,4481,0.0010083239014228237
2023-12-27,96462,5519,-0.008033001039044757
2023-12-28,98114,5706,0.01698091949897776
2024-01-02,99085,6255,0.009847999711320662
2024-01-03,102000,13880,0.028994745665094954
2024-01-04,98600,13175,-0.03390155167568134
2024-01-05,99085,6726,0.004906806010586387
2024-01-08,97531,6030,-0.015807791432408288
2024-01-09,96462,5770,-0.011021127777890057
2024-01-10,94908,5829,-0.016241147083597383
2024-01-11,94520,3160,-0.00409654900657344
2024-01-12,93354,8261,-0.012412733757826356
2024-01-15,91994,5313,-0.014675361029891209
2024-01-16,95102,7602,0.03322664229343411
2024-01-17,95102,11613,0.0
2024-01-18,95588,5938,0.0050972893417071735
2024-01-19,97142,8543,0.01612653638036903
2024-01-22,97142,3951,0.0
2024-01-23,98017,5344,0.008967107467752877
2024-01-24,98988,13958,0.009857697652342465
2024-01-25,99571,12592,0.005872326868664016
2024-01-26,100640,11668,0.010678835416871438
2024-01-29,104525,16111,0.037876484290498294
2024-01-30,104914,14827,0.0037146896930837256
2024-01-31,103845,3195,-0.010241564137613929
2024-02-01,104137,15082,0.0028079371470261737
2024-02-02,107925,25968,0.03572920149641658
2024-02-05,108508,14396,0.00538736153974382
2024-02-06,108605,9597,0.0008935439743719578
2024-02-07,111228,25753,0.023864701726039
2024-02-08,107828,11011,-0.03104478367372016
2024-02-13,109771,9105,0.01785901260693709
2024-02-14,106468,10702,-0.030551907099000856
2024-02-15,103262,9108,-0.03057502266782114
2024-02-16,104331,3328,0.010299089556617458
2024-02-19,107925,7990,0.033868004036832836
2024-02-20,105497,7571,-0.022754024948688566
2024-02-21,106760,11263,0.011900808043470856
2024-02-22,106468,6386,-0.0027388540204112428
2024-02-23,107051,8399,0.005460885905387523
2024-02-26,106080,6465,-0.009111829983747185
2024-02-27,106080,7071,0.0
2024-02-28,106760,3716,0.006389798098770988
2024-02-29,105788,7974,-0.009146233094929268
2024-03-04,105108,6094,-0.00644869847244188
2024-03-05,108022,7815,0.02734651711418878
2024-03-06,112102,17896,0.037074261049023
2024-03-07,114628,24446,0.02228293140295753
2024-03-08,115211,10702,0.00507312727927173
2024-03-11,115114,13866,-0.0008422881210004406
2024-03-12,114142,6035,-0.008479654397360672
2024-03-13,113754,5521,-0.003405065248075997
2024-03-14,112588,7334,-0.010303083957615426
2024-03-15,110937,5377,-0.014772665473016254
2024-03-18,113462,8632,0.022505506483395454
2024-03-19,111228,10834,-0.019885830419024187
2024-03-20,111422,3789,0.0017426458485979872
2024-03-21,109480,8132,-0.01758291035781551
2024-03-22,110937,5219,0.013220588444846398
2024-03-25,111034,6769,0.0008739880991165466
2024-03-26,112102,3296,0.009572710415723044
2024-03-27,114240,7921,0.018892327459110035
2024-03-28,114240,8369,0.0
2024-03-29,114628,10846,0.003390603943847421
2024-04-01,115600,5126,0.008443853703155318
2024-04-02,113657,5784,-0.01695081522758475
